======================================================================
IPTV 酒店源流量测试报告 (2026-03-28 07:21:32)
======================================================================
服务器 (IP:Port)             | 频道名称                 | 平均码率       | 稳定性
219.146.95.58:59902       | 山西卫视                 | 0.23   Mbps | 100%
219.159.91.10:8801        | CCTV5-体育             | 0.96   Mbps | 100%
219.159.91.10:8801        | 浙江卫视                 | 0.19   Mbps | 100%
221.232.196.72:7777       | 湖北卫视                 | 2.47   Mbps | 100%
221.232.196.95:7777       | 河南卫视                 | 2.13   Mbps | 100%
221.232.197.101:7777      | 湖南卫视                 | 2.7    Mbps | 100%
221.232.197.218:7777      | 天津卫视                 | 2.47   Mbps | 100%
221.7.175.127:9901        | 云南卫视                 | 0.07   Mbps | 100%
221.7.175.127:9901        | CCTV-13              | 0.12   Mbps | 100%
221.7.175.127:9901        | 东南卫视                 | 0.08   Mbps | 100%
222.136.102.228:9901      | 金鹰卡通                 | 0.59   Mbps | 100%
222.136.102.228:9901      | 安徽卫视                 | 0.74   Mbps | 100%
222.136.102.228:9901      | CCTV-5               | 0.37   Mbps | 100%
222.214.208.34:59901      | 四川卫视                 | 5.29   Mbps | 0%
222.214.208.34:59901      | CCTV5-体育             | 6.84   Mbps | 63%
222.214.208.34:59901      | CCTV2-财经             | 4.85   Mbps | 99%
222.86.15.171:9999        | 江苏卫视                 | 0.02   Mbps | 100%
222.86.15.171:9999        | CCTV9-纪录             | 0.04   Mbps | 100%
222.86.15.171:9999        | CCTV15-音乐            | 0.04   Mbps | 100%
223.14.160.46:9901        | 重庆卫视                 | 3.48   Mbps | 85%
223.14.160.46:9901        | 贵州卫视                 | 3.93   Mbps | 58%
223.14.160.46:9901        | CCTV7-军农             | 1.75   Mbps | 100%
36.136.38.87:9901         | 广西影视                 | 3.21   Mbps | 0%
36.136.38.87:9901         | 黑龙江卫视                | 3.29   Mbps | 0%
36.136.38.87:9901         | 浙江卫视                 | 3.2    Mbps | 0%
39.164.164.132:9901       | 北京卫视                 | 5.5    Mbps | 43%
39.164.164.132:9901       | CCTV-4               | 5.07   Mbps | 89%
39.164.164.132:9901       | 辽宁卫视                 | 3.36   Mbps | 45%
42.225.117.174:11199      | CCTV14-少儿            | 1.03   Mbps | 100%
42.225.117.174:11199      | CCTV9-纪录             | 2.12   Mbps | 100%
42.225.117.174:11199      | CCTV16               | 1.53   Mbps | 100%
49.234.31.101:7033        | 星河频道                 | 0.18   Mbps | 100%
49.234.31.101:7033        | CCTV5+体育高清           | 0.09   Mbps | 100%
49.234.31.101:7033        | 江西卫视高清               | 0.07   Mbps | 100%
49.87.154.246:10091       | CCTV-3               | 0.47   Mbps | 100%
49.87.154.246:10091       | 东方卫视HD               | 0.51   Mbps | 100%
49.87.154.246:10091       | 吉林卫视                 | 0.25   Mbps | 100%
49.234.31.101:7066        | CCTV-5               | 0.18   Mbps | 100%
49.234.31.101:7066        | 陕西卫视                 | 0.1    Mbps | 100%
58.245.255.38:8888        | 央视文化精品               | 6.9    Mbps | 0%
58.245.255.38:8888        | 吉林乡村                 | 6.73   Mbps | 75%
58.245.255.38:8888        | 环球奇观                 | 8.76   Mbps | 95%
60.187.244.84:9901        | 天津卫视                 | 4.18   Mbps | 0%
60.187.244.84:9901        | CCTV4-国际             | 3.17   Mbps | 66%
60.187.244.84:9901        | 河南卫视                 | 2.45   Mbps | 0%
60.187.247.10:9901        | 天津卫视                 | 3.89   Mbps | 37%
60.187.247.10:9901        | 黑龙江卫视                | 1.5    Mbps | 0%
60.187.247.10:9901        | CCTV5-体育             | 1.24   Mbps | 100%
61.136.172.236:9901       | CCTV10-科教            | 0.08   Mbps | 100%
61.136.172.236:9901       | 江西卫视                 | 0.06   Mbps | 100%
61.136.172.236:9901       | 四川卫视                 | 0.11   Mbps | 100%
61.185.200.103:9901       | 河南卫视                 | 1.34   Mbps | 67%
61.185.200.103:9901       | 湖北卫视                 | 1.62   Mbps | 98%
